Data,Investimento,GMV,ROAS,Pedidos,Cliques,Impr.
01/04/2026,69.147,605.265,"8,75",1.041,214.457,7.232.103
02/04/2026,65.185,540.952,"8,30",902,186.819,6.453.412
03/04/2026,35.735,427.515,"11,96",734,83.357,3.908.246
04/04/2026,53.247,440.539,"8,27",937,132.945,5.376.349
05/04/2026,50.462,417.777,"8,28",866,107.027,5.338.447
06/04/2026,76.775,724.123,"9,43",1.280,235.844,7.339.556
07/04/2026,68.717,778.430,"11,33",1.395,227.802,7.208.859
08/04/2026,69.445,749.092,"10,79",1.273,228.811,6.949.594
09/04/2026,58.149,670.534,"11,53",1.115,187.299,5.828.279
10/04/2026,49.025,524.798,"10,70",909,181.981,5.707.307
11/04/2026,39.711,435.364,"10,96",825,126.274,4.959.814
12/04/2026,31.603,411.014,"13,01",840,82.201,3.914.008
13/04/2026,51.881,675.503,"13,02",1.117,204.426,6.030.037
14/04/2026,72.889,641.814,"8,81",1.076,234.052,7.672.041
15/04/2026,79.990,683.119,"8,54",1.188,233.064,7.461.779
16/04/2026,69.034,590.106,"8,55",1.069,228.477,7.535.646
17/04/2026,62.306,605.489,"9,72",959,218.136,7.425.912
18/04/2026,53.645,495.240,"9,23",879,161.270,7.247.123
19/04/2026,45.290,483.797,"10,68",877,110.067,5.251.382
20/04/2026,58.388,700.352,"11,99",1.230,221.161,6.860.508
21/04/2026,59.242,703.142,"11,87",1.218,141.404,6.016.760
22/04/2026,87.616,869.308,"9,92",1.446,254.392,8.086.130
23/04/2026,85.606,817.710,"9,55",1.374,249.590,8.308.015
24/04/2026,57.728,651.830,"11,29",1.114,187.566,6.184.878
25/04/2026,47.397,468.979,"9,89",949,137.850,5.384.404
26/04/2026,32.102,360.012,"11,21",767,88.808,4.043.008
27/04/2026,55.381,594.677,"10,74",1.119,209.271,6.517.673
28/04/2026,62.496,644.971,"10,32",1.060,227.325,7.578.438
29/04/2026,46.521,569.772,"12,25",1.020,190.962,6.042.238
30/04/2026,41.480,450.182,"10,85",829,168.209,5.399.956
01/05/2026,45.593,479.522,"10,52",832,107.068,5.048.176
02/05/2026,55.481,490.905,"8,85",832,138.299,6.124.547
03/05/2026,55.390,469.319,"8,47",898,106.825,5.346.498
04/05/2026,78.096,651.846,"8,35",1.123,200.786,6.972.837
05/05/2026,72.123,679.619,"9,42",1.216,173.700,6.591.010
06/05/2026,106.139,902.832,"8,51",1.624,263.227,9.949.980
07/05/2026,111.000,891.655,"8,03",1.628,261.891,10.126.257
08/05/2026,91.615,779.908,"8,51",1.397,246.490,9.251.834
09/05/2026,62.336,458.307,"7,35",942,172.841,7.729.335
10/05/2026,55.172,456.947,"8,28",891,124.913,6.809.804
11/05/2026,69.724,590.899,"8,47",1.117,236.818,9.312.828
12/05/2026,65.771,701.273,"10,66",1.212,214.905,7.928.504
13/05/2026,57.053,667.474,"11,70",1.361,200.305,7.156.255
14/05/2026,59.036,643.024,"10,89",1.410,190.761,6.644.450
15/05/2026,51.463,658.069,"12,79",1.367,184.850,6.150.224
16/05/2026,46.949,552.581,"11,77",1.219,128.776,5.086.086
17/05/2026,43.008,504.200,"11,72",1.191,99.753,4.592.381
18/05/2026,62.763,717.016,"11,42",1.228,208.308,6.848.874
19/05/2026,60.264,668.438,"11,09",1.183,216.531,7.518.540
20/05/2026,55.881,677.883,"12,13",1.117,204.830,7.287.073
21/05/2026,43.612,455.531,"10,45",847,143.308,5.331.280
22/05/2026,45.481,461.619,"10,15",747,116.475,4.433.554
23/05/2026,43.925,419.561,"9,55",689,96.552,4.416.654
24/05/2026,35.910,396.550,"11,04",732,92.033,4.608.887
25/05/2026,58.064,666.625,"11,48",1.193,212.919,7.605.336
26/05/2026,49.011,684.247,"13,96",1.073,189.341,6.713.628
27/05/2026,59.821,636.350,"10,64",1.267,208.670,7.718.225
28/05/2026,60.778,709.575,"11,67",1.379,203.536,7.286.320
29/05/2026,37.482,558.751,"14,91",1.083,163.257,5.128.664
30/05/2026,33.997,426.737,"12,55",1.006,114.807,4.305.609
31/05/2026,28.909,459.895,"15,91",940,77.161,3.534.403
01/06/2026,46.961,606.958,"12,92",1.225,196.416,5.785.029
02/06/2026,52.559,581.002,"11,05",1.018,181.873,5.542.663
03/06/2026,39.436,516.132,"13,09",892,164.607,4.679.579
04/06/2026,31.079,395.248,"12,72",766,81.837,3.302.143
05/06/2026,38.707,487.247,"12,59",844,169.210,4.891.359
06/06/2026,41.564,429.384,"10,33",784,115.944,4.424.634
07/06/2026,48.906,518.669,"10,61",941,90.511,4.099.277
08/06/2026,52.331,550.235,"10,51",1.033,181.552,5.050.690
09/06/2026,45.595,536.960,"11,78",939,142.985,4.446.451
10/06/2026,50.480,565.759,"11,21",956,128.353,4.389.831
11/06/2026,38.139,467.193,"12,25",832,123.902,4.116.771
12/06/2026,33.265,373.397,"11,22",683,122.660,4.302.950
13/06/2026,28.377,235.672,"8,31",520,86.653,3.538.480
14/06/2026,37.893,330.914,"8,73",701,84.520,4.013.260
15/06/2026,46.434,476.458,"10,26",941,150.564,5.160.398
16/06/2026,58.553,458.240,"7,83",1.021,169.824,6.495.171
17/06/2026,61.527,385.306,"6,26",866,169.048,6.542.690
18/06/2026,42.668,358.475,"8,40",818,130.212,4.718.969
19/06/2026,45.490,311.551,"6,85",658,135.711,4.964.256
20/06/2026,26.612,239.914,"9,02",511,79.568,3.127.442
21/06/2026,25.201,223.445,"8,87",558,67.938,2.939.766
22/06/2026,68.868,475.921,"6,91",1.046,199.852,7.714.045
23/06/2026,59.172,393.708,"6,65",884,181.786,6.640.221
24/06/2026,43.151,347.819,"8,06",718,132.894,4.889.761
25/06/2026,34.982,297.197,"8,50",662,134.795,4.627.230
26/06/2026,33.535,272.947,"8,14",619,137.035,4.945.344
27/06/2026,27.261,246.210,"9,03",513,91.439,3.808.136
28/06/2026,19.476,189.009,"9,70",433,60.187,2.686.888
29/06/2026,24.482,251.976,"10,29",519,89.676,3.227.354
30/06/2026,36.957,375.690,"10,17",694,128.954,4.490.342
01/07/2026,39.567,415.368,"10,50",912,161.557,5.172.670
02/07/2026,38.708,393.756,"10,17",842,176.749,5.568.903
03/07/2026,36.179,384.199,"10,62",864,168.955,5.321.070
04/07/2026,39.842,322.081,"8,08",813,124.555,4.968.467
05/07/2026,46.899,294.624,"6,28",736,97.902,4.528.084
